scenario,misclassification_profile,missingness_profile,mean_delta_cramers_v,probability_broad_association_stronger,probability_any_strict_reversal,mean_active_level_observation_error,mean_broad_level_observation_error,mean_active_association_observation_error,mean_broad_association_observation_error,undefined_association_fraction
rank_reversal,active_project_swap_10,state_independent_10,0.007528083751342683,0.5485,1.0,0.006475356687647551,4.940365521158096e-05,-0.0802656755408661,0.0002548512059432313,0.0
rank_reversal,active_project_swap_10,project_heavy,-0.0039077324554297205,0.46825,1.0,0.012005823798030342,-0.015030994749306479,-0.08437677300769725,-0.014182870032285631,0.0
rank_reversal,project_other_swap_10,none,-0.1376717028970905,0.0095,1.0,0.0,0.011621333333333332,0.0,-0.06382876066885684,0.0
rank_reversal,project_other_swap_10,state_independent_10,-0.1378120270110206,0.01375,1.0,7.597669440458112e-05,0.01151053012371316,-4.5810003255016784e-05,-0.0636574994849229,0.0
rank_reversal,project_other_swap_10,project_heavy,-0.14116706280955246,0.011,1.0,0.008692643279859386,0.0005193886774554537,-0.007532404340776106,-0.0749182812984577,0.0
mixed_order,none,none,-0.13421405590899999,0.006,0.9865,0.0,0.0,0.0,0.0,0.0
mixed_order,none,state_independent_10,-0.1327404080262409,0.01125,0.9855,2.8422541560135468e-05,-8.31417374828762e-06,0.00016591963045712799,0.0008109832946024981,0.0
mixed_order,none,project_heavy,-0.13197071563921917,0.00925,0.975,0.006239694022181654,-0.012046182732916482,-0.003847990742145599,-0.002202830904597403,0.0
mixed_order,active_project_swap_10,none,-0.08904763743683858,0.047,0.98675,-0.005215666666666666,0.0,-0.04542979975933987,0.0,0.0
mixed_order,active_project_swap_10,state_independent_10,-0.087021205830618,0.063,0.98425,-0.005221368020441715,-2.4876659096330913e-06,-0.045444562312528566,0.0005064133059984026,0.0
mixed_order,active_project_swap_10,project_heavy,-0.08939756718698741,0.04875,0.972,-0.0011400330240794363,-0.012248027523472867,-0.046302324527698765,-0.0024336079449689555,0.0
mixed_order,project_other_swap_10,none,-0.15014146928012634,0.002,0.92575,0.0,0.030097000000000002,0.0,-0.016940891386383057,0.0
mixed_order,project_other_swap_10,state_independent_10,-0.14924799878018744,0.004,0.92675,-0.0001224310298469172,0.02967727143480615,0.00017980150172777632,-0.014831695546733787,0.0
mixed_order,project_other_swap_10,project_heavy,-0.1449435710780308,0.0015,0.9005,0.006243329336903772,0.020867263987376473,-0.003568154846767638,-0.015878246975826345,0.0
